Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15IRH8 Thin a...,"1,11,990","56,470",19% off,4.3,715 Ratings & 46 Reviews,Lenovo
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...",,"69,490",30% off,4.3,135 Ratings & 11 Reviews,DELL
MSI Prestige 13 Evo AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 13 AI Ev...,,"89,990",21% off,4.0,4 Ratings & 0 Reviews,MSI
DELL Vostro 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3520 Thin and...,"62,415","45,990",26% off,4.2,67 Ratings & 1 Reviews,DELL
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"77,566","62,990",18% off,4.4,55 Ratings & 3 Reviews,HP
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-...,"92,999","74,990",19% off,4.3,593 Ratings & 78 Reviews,Acer
HP AMD Athlon Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,"50,648","25,999",48% off,4.0,953 Ratings & 65 Reviews,HP
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5541WS ...,"55,990","41,990",25% off,4.2,"2,162 Ratings & 143 Reviews",ASUS
HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0063TU Thin and Light Laptop,"49,995","35,990",28% off,4.6,11 Ratings & 1 Reviews,HP
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0111TU Thin and Light Laptop,"62,527","49,999",20% off,4.2,302 Ratings & 13 Reviews,HP
Lenovo V14 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Pro) V14 G2-ITL Business Laptop,"49,000","32,000",34% off,4.8,12 Ratings & 3 Reviews,Lenovo
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0315TU Thin and Light Laptop,"71,773","54,990",23% off,4.0,233 Ratings & 9 Reviews,HP
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41-R6G9 Thin a...,"69,999","39,990",42% off,4.3,792 Ratings & 93 Reviews,Acer
Lenovo Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/DOS) 82QYA00HIN Laptop,"39,251","23,900",39% off,3.7,287 Ratings & 17 Reviews,Lenovo
Acer Aspire Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light L...,"29,999","21,999",26% off,3.9,"2,005 Ratings & 164 Reviews",Acer
HP 255 G10 AMD Ryzen 5 Quad Core 7520U UPTO 4.3Ghz - (8 GB/512 GB SSD/Windows 11 Home) 255 G10 Thin an...,"51,999","29,990",42% off,3.9,41 Ratings & 5 Reviews,HP
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,"47,990","31,990",33% off,4.3,"1,657 Ratings & 182 Reviews",MSI
Lenovo Intel Core i3 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) V14 Thin and Light Laptop,"52,990","32,890",37% off,4.0,43 Ratings & 2 Reviews,Lenovo
HP 250R G9 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 42V68PA Thin and Light Lap...,"44,253","32,792",25% off,4.2,177 Ratings & 14 Reviews,HP
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,"61,990","36,990",40% off,4.4,"3,069 Ratings & 339 Reviews",MSI
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...,"55,190","35,990",34% off,4.2,77 Ratings & 3 Reviews,Lenovo
Lenovo ThinkBook 16 G6 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G...,"44,527","73,800",15% off,4.2,260 Ratings & 30 Reviews,Lenovo
DELL Inspiron 3530 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,"72,490","37,490",27% off,3.3,4 Ratings & 0 Reviews,DELL
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,"74,990","52,590",52% off,3.8,14 Ratings & 1 Reviews,Lenovo
HP 15 G9 (2025) AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15 G9 Thin and Light ...,"49,169","35,490",26% off,,,HP
DELL MSO'2024 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and ...,"44,990","35,990",42% off,4.1,98 Ratings & 6 Reviews,DELL
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,,"25,990",34% off,4.0,68 Ratings & 6 Reviews,Acer
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home...","78,653","58,690",25% off,4.2,655 Ratings & 34 Reviews,DELL
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...,"55,190","34,990",36% off,4.2,"1,720 Ratings & 96 Reviews",Lenovo
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,"67,990","41,500",38% off,4.3,"1,786 Ratings & 176 Reviews",MSI
